Area,Service Quality,Price,Rate
Mirpur,Very Good,2500,Very Good
Banani,Good,2200,Good
Dhanmondi,Bad ,1500,Bad
Gulshan,Very Bad,1000,Very Bad
Old Dhaka,Bad ,1000,Good
Uttara,Very Bad,1500,Bad
Mirpur,Very Bad,1800,Good
Banani,Bad ,2000,Bad
Dhanmondi,Very Bad,1750,Very Bad
Gulshan,Good,3000,Very Good
Old Dhaka,Bad ,1250,Good
Uttara,Very Bad,2000,Bad
Mirpur,Very Bad,1500,Good
Banani,Very Good,2000,Bad
Dhanmondi,Good,2200,Good
Gulshan,Bad ,2500,Bad
Old Dhaka,Very Bad,1250,Very Bad
Uttara,Very Bad,3000,Very Good
Mirpur,Very Bad,2000,Good
Banani,Very Good,1850,Bad
Dhanmondi,Bad ,1450,Good
Gulshan,Very Bad,2200,Bad
Old Dhaka,Very Bad,1400,Good
Uttara,Bad ,1800,Bad
Mirpur,Very Bad,1900,Good
Banani,Very Bad,2999,Very Good
Dhanmondi,Very Good,3999,Good
Gulshan,Good,3999,Good
Old Dhaka,Bad ,2125,Bad
Uttara,Very Bad,2299,Good
Mirpur,Very Good,999,Bad
Banani,Bad ,1999,Good
Dhanmondi,Very Bad,1200,Bad
Gulshan,Very Bad,1999,Good
Old Dhaka,Bad ,999,Very Good
Uttara,Very Bad,1499,Good
Mirpur,Very Bad,2499,Very Good
Banani,Very Good,2000,Good
Dhanmondi,Good,1500,Bad
Gulshan,Very Good,1550,Good
Old Dhaka,Bad ,1200,Bad
Uttara,Good,1800,Very Good
